title,venue_url,category,venue,address,city,country,open_date,close_date,booking_start_date,booking_end_date,upcoming_performances,capacity,currency,seat_pricing,scrape_datetime
Gravity x Paul van Dyk,https://www.bilietai.lt/eng/tickets/koncertai/gravity-x-paul-van-dyk-490026/,concert,Dūmų fabrikas,"Dūmų g. 5, Vilnius",Vilnius,Lithuania,2026-04-10T00:00:00,2026-04-10T00:00:00,,2026-04-10T00:00:00,,,EUR,,2026-02-21T10:46:48.895218
Koncertinis turas. Inga Valinskienė VISADA JŪSŲ,https://www.bilietai.lt/eng/tickets/koncertai/koncertinis-turas-inga-valinskiene-visada-jusu-473786/,concert,Twinsbet Arena,"Ozo g. 14, Vilnius",Vilnius,Lithuania,2026-03-07T00:00:00,2026-03-07T00:00:00,,2026-03-07T00:00:00,,,EUR,,2026-02-21T10:46:55.784081
"Eimunto Nekrošiaus spektaklis ""Bado meistras""",https://www.bilietai.lt/eng/tickets/teatras/eimunto-nekrosiaus-spektaklis-bado-meistras-492027/,theatre,Teatras Meno fortas,"Bernardinų g. 8, Vilnius",Vilnius,Lithuania,2026-03-27T00:00:00,2026-03-27T00:00:00,,2026-03-27T00:00:00,,,EUR,,2026-02-21T10:47:02.437374
"Šokio spektaklis DU Į PRIEKĮ, VIENS ATGAL",https://www.bilietai.lt/eng/tickets/teatras/sokio-spektaklis-du-i-prieki-viens-atgal-490773/,theatre,MENŲ SPAUSTUVĖ,"Šiltadaržio g. 6, Vilnius",Vilnius,Lithuania,2026-02-28T00:00:00,2026-02-28T00:00:00,,2026-02-28T00:00:00,,,EUR,,2026-02-21T10:47:09.547289
"LVSO koncerte - klasikinės muzikos žvaigždė, pasaulinis arfos virtuozas XAVIER DE MAISTRE",https://www.bilietai.lt/eng/tickets/koncertai/lvso-koncerte-klasikines-muzikos-zvaigzde-pasaulinis-arfos-virtuozas-xavier-de-maistre-479365/,concert,LVSO koncertų salė,"Vilniaus g. 6, Vilnius",Vilnius,Lithuania,2026-04-30T00:00:00,2026-04-30T00:00:00,,2026-04-30T00:00:00,,,EUR,,2026-02-21T10:47:16.930239
Benjamin Clementine - European Tour 2026,https://www.bilietai.lt/eng/tickets/koncertai/benjamin-clementine-european-tour-2026-488538/,concert,Lukiškių kalėjimas 2.0,"Lukiškių skg. 6, Vilnius",Vilnius,Lithuania,2026-06-23T00:00:00,2026-06-23T00:00:00,,2026-06-23T00:00:00,,,EUR,,2026-02-21T10:47:25.125424
Prisikėlęs,https://www.bilietai.lt/eng/tickets/koncertai/prisikeles-494310/,concert,Kauno sporto halė,"Perkūno al. 5, Kaunas",Kaunas,Lithuania,2026-04-06T00:00:00,2026-04-06T00:00:00,,2026-04-06T00:00:00,,,EUR,,2026-02-21T10:47:32.220334
KÄÄRIJÄ | EURODISKO-TOUR 2026,https://www.bilietai.lt/eng/tickets/koncertai/kaarija--eurodisko-tour-2026-488765/,concert,Menų fabrikas LOFTAS,"Švitrigailos g. 29, Vilnius",Vilnius,Lithuania,2026-10-27T00:00:00,2026-10-27T00:00:00,,2026-10-27T00:00:00,,,EUR,,2026-02-21T10:47:41.141629
Men I Trust - Equus Euro Tour 2026,https://www.bilietai.lt/eng/tickets/koncertai/men-i-trust-equus-euro-tour-2026-487944/,concert,Lukiškių kalėjimas 2.0,"Lukiškių skg. 6, Vilnius",Vilnius,Lithuania,2026-06-20T00:00:00,2026-06-20T00:00:00,,2026-06-20T00:00:00,,,EUR,,2026-02-21T10:47:47.794497
Baltpool Biomass Day '26 conference,https://www.bilietai.lt/eng/tickets/kita/seminarai/baltpool-biomass-day-26-conference-493905/,event,AC Hotel by Marriott Vilnius,"Vasario 16-osios g. 5, Vilnius",Vilnius,Lithuania,2026-05-06T00:00:00,2026-05-07T00:00:00,,2026-05-07T00:00:00,,,EUR,,2026-02-21T10:47:54.497887
SEL 50 | Kaunas 2026,https://www.bilietai.lt/eng/tickets/koncertai/sel-50--kaunas-2026-480549/,concert,Kauno Žalgirio arena,"Nemuno sala, Karaliaus Mindaugo pr. 50, Kaunas",Kaunas,Lithuania,2026-12-12T00:00:00,2026-12-12T00:00:00,,2026-12-12T00:00:00,,,EUR,,2026-02-21T10:48:04.441182
Lucia Filaci & Vittorio Cuculo with Arakelian Jazz Trio,https://www.bilietai.lt/eng/tickets/koncertai/lucia-filaci--vittorio-cuculo-with-arakelian-jazz-trio-102688/,concert,MUZIKOS STOTIS - gyvos muzikos klubas,"Geležinkelio g. 6 (įėjimas iš perono pusės, 4 aukštas), Vilnius",Vilnius,Lithuania,2026-03-06T00:00:00,2026-03-07T00:00:00,,2026-03-07T00:00:00,,,EUR,,2026-02-21T10:48:19.951713
Klaipėdos jaunimo teatras | muzikinis spektaklis kūdikiams A-Ū! | PREMJERA,https://www.bilietai.lt/eng/tickets/teatras/klaipedos-jaunimo-teatras--muzikinis-spektaklis-kudikiams-a-u--premjera-102837/,theatre,Klaipėdos Kultūros fabrikas,"Bangų g. 5A, Klaipėda",Klaipėda,Lithuania,2026-03-13T00:00:00,2026-03-13T00:00:00,,2026-03-13T00:00:00,,,EUR,,2026-02-21T10:48:29.871185
''Oh Happy Day'' Gospelo muzikos koncertas | Raudondvaris,https://www.bilietai.lt/eng/tickets/teatras/oh-happy-day-gospelo-muzikos-koncertas--raudondvaris-494042/,theatre,Raudondvario kultūros centras,"Instituto g. 1A, Raudondvaris,, Kaunas",Kaunas,Lithuania,2026-04-06T00:00:00,2026-04-06T00:00:00,,2026-04-06T00:00:00,,,EUR,,2026-02-21T10:48:44.882437
Deki Alem - Vilnius,https://www.bilietai.lt/eng/tickets/koncertai/deki-alem-vilnius-479160/,concert,Kablys,"Kauno g. 5, Vilnius",Vilnius,Lithuania,2026-03-14T00:00:00,2026-03-14T00:00:00,,2026-03-14T00:00:00,,,EUR,,2026-02-21T10:48:52.103258
JACK SAVORETTI | Kablys | Vilnius,https://www.bilietai.lt/eng/tickets/koncertai/jack-savoretti--kablys--vilnius-492279/,concert,Kablys,"Kauno g. 5, Vilnius",Vilnius,Lithuania,2026-10-05T00:00:00,2026-10-05T00:00:00,,2026-10-05T00:00:00,,,EUR,,2026-02-21T10:48:58.947209
''Oh Happy Day'' Gospelo muzikos koncertas | Vilnius,https://www.bilietai.lt/eng/tickets/teatras/oh-happy-day-gospelo-muzikos-koncertas--vilnius-493184/,theatre,Šv. Kotrynos bažnyčia,"Vilniaus g. 30, Vilnius",Vilnius,Lithuania,2026-04-07T00:00:00,2026-04-07T00:00:00,,2026-04-07T00:00:00,,,EUR,,2026-02-21T10:49:06.911434
BIEZDORIENĖS TURAS - DAVATKA,https://www.bilietai.lt/eng/tickets/koncertai/biezdorienes-turas-davatka-102434/,concert,Unknown,,,Lithuania,2026-03-03T00:00:00,2026-03-26T00:00:00,,2026-03-26T00:00:00,,,EUR,,2026-02-21T10:49:14.677614
Jack White,https://www.bilietai.lt/eng/tickets/koncertai/jack-white-491767/,concert,Siguldas pilsdrupu estrāde,"Pils iela 18, Sigulda",Sigulda,Latvia,2026-05-30T00:00:00,2026-05-30T00:00:00,,2026-05-30T00:00:00,,,EUR,,2026-02-21T10:49:22.880060
MURMURS - tarptautinis muzikos festivalis,https://www.bilietai.lt/eng/tickets/koncertai/murmurs-tarptautinis-muzikos-festivalis-102337/,concert,Kablys,"Kauno g. 5, Vilnius",Vilnius,Lithuania,2026-02-26T00:00:00,2026-02-27T00:00:00,,2026-02-27T00:00:00,,,EUR,,2026-02-21T10:49:30.025310
Justinas Jarutis ''TIK AŠ IR TU'',https://www.bilietai.lt/eng/tickets/koncertai/justinas-jarutis-tik-as-ir-tu-101935/,concert,Unknown,,,Lithuania,2026-02-27T00:00:00,2026-03-20T00:00:00,,2026-03-20T00:00:00,,,EUR,,2026-02-21T10:49:37.898374
Gerumo koncertas su Jurga Šeduikyte,https://www.bilietai.lt/eng/tickets/koncertai/gerumo-koncertas-su-jurga-seduikyte-489377/,concert,Palangos koncertų salė,"Vytauto g. 43, Palanga",Palanga,Lithuania,2026-03-14T00:00:00,2026-03-14T00:00:00,,2026-03-14T00:00:00,,,EUR,,2026-02-21T10:49:45.464547
Paulius Stalionis pristato geriausių dainų koncertinę programą!,https://www.bilietai.lt/eng/tickets/koncertai/paulius-stalionis-pristato-geriausiu-dainu-koncertine-programa-492858/,concert,Druskininkų jaunimo užimtumo centras,"Veisiejų g. 17H, Druskininkai",Druskininkai,Lithuania,2026-02-26T00:00:00,2026-02-26T00:00:00,,2026-02-26T00:00:00,,,EUR,,2026-02-21T10:49:52.374198
LKL: Vilniaus ''Rytas'' - Kauno ''Žalgiris'',https://www.bilietai.lt/eng/tickets/sportas/krepsinis/lkl-vilniaus-rytas-kauno-zalgiris-494647/,sport,Twinsbet Arena,"Ozo g. 14, Vilnius",Vilnius,Lithuania,2026-04-19T00:00:00,2026-04-19T00:00:00,,2026-04-19T00:00:00,,,EUR,,2026-02-21T10:49:59.281442
Konferencija ''WIND Vision 2026'',https://www.bilietai.lt/eng/tickets/kita/konferencija-wind-vision-2026-102296/,event,AC Hotel by Marriott Vilnius,"Vasario 16-osios g. 5, Vilnius",Vilnius,Lithuania,2026-03-03T00:00:00,2026-03-03T00:00:00,,2026-03-03T00:00:00,,,EUR,,2026-02-21T10:50:06.609557
Ingmar Bergman ''Rudens sonata'',https://www.bilietai.lt/eng/tickets/teatras/ingmar-bergman-rudens-sonata-492033/,theatre,Teatras Meno fortas,"Bernardinų g. 8, Vilnius",Vilnius,Lithuania,2026-02-26T00:00:00,2026-02-26T00:00:00,,2026-02-26T00:00:00,,,EUR,,2026-02-21T10:50:13.926242
GIEDRĖ,https://www.bilietai.lt/eng/tickets/koncertai/giedre-101164/,concert,Unknown,,,Lithuania,2026-03-07T00:00:00,2026-03-21T00:00:00,,2026-03-21T00:00:00,,,EUR,,2026-02-21T10:50:21.477359
Klangkarussell - Kaleidoscope Live Tour 2026 - Vilnius,https://www.bilietai.lt/eng/tickets/koncertai/klangkarussell-kaleidoscope-live-tour-2026-vilnius-493410/,concert,Kablys,"Kauno g. 5, Vilnius",Vilnius,Lithuania,2026-04-16T00:00:00,2026-04-16T00:00:00,,2026-04-16T00:00:00,,,EUR,,2026-02-21T10:50:29.465098
THOMAS ANDERS from Modern Talking,https://www.bilietai.lt/eng/tickets/koncertai/thomas-anders-from-modern-talking-488787/,concert,Palangos koncertų salė,"Vytauto g. 43, Palanga",Palanga,Lithuania,2026-06-26T00:00:00,2026-06-26T00:00:00,,2026-06-26T00:00:00,,,EUR,,2026-02-21T10:50:37.628578
GRAŽI IR TA GALINGA 10-METIS,https://www.bilietai.lt/eng/tickets/koncertai/grazi-ir-ta-galinga-10-metis-102904/,concert,Unknown,,,Lithuania,2026-04-25T00:00:00,2026-05-22T00:00:00,,2026-05-22T00:00:00,,,EUR,,2026-02-21T10:50:45.289519
Jean-Yves Thibaudet (fortepijonas),https://www.bilietai.lt/eng/tickets/koncertai/jean-yves-thibaudet-fortepijonas-487398/,concert,Lietuvos nacionalinė filharmonija,"Aušros Vartų g. 5, Vilnius",Vilnius,Lithuania,2026-05-21T00:00:00,2026-05-21T00:00:00,,2026-05-21T00:00:00,,,EUR,,2026-02-21T10:50:52.845490
