title,venue_url,category,venue,address,city,country,open_date,close_date,booking_start_date,booking_end_date,upcoming_performances,capacity,currency,seat_pricing,scrape_datetime
Paulius Stalionis pristato geriausių dainų koncertinę programą!,https://www.bilietai.lt/eng/tickets/koncertai/paulius-stalionis-pristato-geriausiu-dainu-koncertine-programa-492858/,concert,Druskininkų jaunimo užimtumo centras,"Veisiejų g. 17H, Druskininkai",Druskininkai,Lithuania,2026-02-26T00:00:00,2026-02-26T00:00:00,,2026-02-26T00:00:00,,,EUR,,2026-02-21T11:01:20.568834
Katarsis - Vilnius - Lukiškių kalėjimas 2.0,https://www.bilietai.lt/eng/tickets/koncertai/katarsis-vilnius-lukiskiu-kalejimas-20-494666/,concert,Lukiškių kalėjimas 2.0,"Lukiškių skg. 6, Vilnius",Vilnius,Lithuania,2026-08-20T00:00:00,2026-08-20T00:00:00,,2026-08-20T00:00:00,,,EUR,,2026-02-21T11:01:29.258812
LKL: Vilniaus ''Rytas'' - Kauno ''Žalgiris'',https://www.bilietai.lt/eng/tickets/sportas/krepsinis/lkl-vilniaus-rytas-kauno-zalgiris-494647/,sport,Twinsbet Arena,"Ozo g. 14, Vilnius",Vilnius,Lithuania,2026-04-19T00:00:00,2026-04-19T00:00:00,,2026-04-19T00:00:00,,,EUR,,2026-02-21T11:01:36.819924
Men I Trust - Equus Euro Tour 2026,https://www.bilietai.lt/eng/tickets/koncertai/men-i-trust-equus-euro-tour-2026-487944/,concert,Lukiškių kalėjimas 2.0,"Lukiškių skg. 6, Vilnius",Vilnius,Lithuania,2026-06-20T00:00:00,2026-06-20T00:00:00,,2026-06-20T00:00:00,,,EUR,,2026-02-21T11:01:44.609915
LIETUVOS DAVOSAS | Ekonomikos ir verslo lyderystės forumas,https://www.bilietai.lt/eng/tickets/kita/lietuvos-davosas--ekonomikos-ir-verslo-lyderystes-forumas-493628/,event,Radisson Blu Hotel LIETUVA,"Konstitucijos pr. 20, Vilnius",Vilnius,Lithuania,2026-03-25T00:00:00,2026-03-25T00:00:00,,2026-03-25T00:00:00,,,EUR,,2026-02-21T11:01:51.250830
MURMURS - tarptautinis muzikos festivalis,https://www.bilietai.lt/eng/tickets/koncertai/murmurs-tarptautinis-muzikos-festivalis-102337/,concert,Kablys,"Kauno g. 5, Vilnius",Vilnius,Lithuania,2026-02-26T00:00:00,2026-02-27T00:00:00,,2026-02-27T00:00:00,,,EUR,,2026-02-21T11:01:58.440367
Klaipėdos jaunimo teatras | muzikinis spektaklis kūdikiams A-Ū! | PREMJERA,https://www.bilietai.lt/eng/tickets/teatras/klaipedos-jaunimo-teatras--muzikinis-spektaklis-kudikiams-a-u--premjera-102837/,theatre,Klaipėdos Kultūros fabrikas,"Bangų g. 5A, Klaipėda",Klaipėda,Lithuania,2026-03-13T00:00:00,2026-03-13T00:00:00,,2026-03-13T00:00:00,,,EUR,,2026-02-21T11:02:05.353714
MES UŽAUGOM!,https://www.bilietai.lt/eng/tickets/koncertai/mes-uzaugom-493169/,concert,Twinsbet Arena,"Ozo g. 14, Vilnius",Vilnius,Lithuania,2026-03-10T00:00:00,2026-03-10T00:00:00,,2026-03-10T00:00:00,,,EUR,,2026-02-21T11:02:12.540717
NICK CAVE & THE BAD SEEDS | KALNŲ PARKAS | VILNIUS,https://www.bilietai.lt/eng/tickets/koncertai/nick-cave--the-bad-seeds--kalnu-parkas--vilnius-481977/,concert,Kalnų parkas,"Kalnų parkas, T. Kosciuškos g., Vilnius, Vilnius",Vilnius,Lithuania,2026-08-18T00:00:00,2026-08-18T00:00:00,,2026-08-18T00:00:00,,,EUR,,2026-02-21T11:02:19.514414
BIEZDORIENĖS TURAS - DAVATKA,https://www.bilietai.lt/eng/tickets/koncertai/biezdorienes-turas-davatka-102434/,concert,Unknown,,,Lithuania,2026-03-03T00:00:00,2026-03-26T00:00:00,,2026-03-26T00:00:00,,,EUR,,2026-02-21T11:02:28.006952
