title,venue_url,category,venue,address,city,country,open_date,close_date,booking_start_date,booking_end_date,upcoming_performances,capacity,currency,seat_pricing,scrape_datetime
Už grotų: Micro One - Lukiškių kalėjimas 2.0,https://www.bilietai.lt/eng/tickets/koncertai/uz-grotu-micro-one-lukiskiu-kalejimas-20-488673/,concert,Lukiškių kalėjimas 2.0,"Lukiškių skg. 6, Vilnius",Vilnius,Lithuania,2026-02-21T00:00:00,2026-02-21T00:00:00,,2026-02-21T00:00:00,,,EUR,,2026-02-21T17:44:49.777294
Bavarija | Druskininkai | Naktinis klubas ''Aqua'',https://www.bilietai.lt/eng/tickets/koncertai/bavarija--druskininkai--naktinis-klubas-aqua-492828/,concert,Naktinis klubas Aqua,"Vilniaus al. 13, Druskininkai",Druskininkai,Lithuania,2026-02-21T00:00:00,2026-02-21T00:00:00,,2026-02-21T00:00:00,,,EUR,,2026-02-21T17:44:57.021176
Meškinų muziejus ''PLUSHY B 55'',https://www.bilietai.lt/eng/tickets/koncertai/meskinu-muziejus-plushy-b-55-492471/,concert,Raganiukės teatras,"S. Stanevičiaus g. 24, Vilnius",Vilnius,Lithuania,2026-02-22T00:00:00,2026-02-22T00:00:00,,2026-02-22T00:00:00,,,EUR,,2026-02-21T17:45:04.392945
SKAMBANČIOS MIŠKO ISTORIJOS,https://www.bilietai.lt/eng/tickets/koncertai/skambancios-misko-istorijos-490219/,concert,Šv. Kotrynos bažnyčia,"Vilniaus g. 30, Vilnius",Vilnius,Lithuania,2026-02-22T00:00:00,2026-02-22T00:00:00,,2026-02-22T00:00:00,,,EUR,,2026-02-21T17:45:11.645773
ČIURLIONIS: MATAU MUZIKĄ,https://www.bilietai.lt/eng/tickets/koncertai/ciurlionis-matau-muzika-491446/,concert,MUZIKOS SVETAINĖ,"Gedimino pr. 32-2, Vilnius",Vilnius,Lithuania,2026-02-22T00:00:00,2026-02-22T00:00:00,,2026-02-22T00:00:00,,,EUR,,2026-02-21T17:45:18.702676
Susitikimai su džiazo didžiaisiais | Joe Pass'as ir Ella FItzgerald,https://www.bilietai.lt/eng/tickets/koncertai/kiti/susitikimai-su-dziazo-didziaisiais--joe-passas-ir-ella-fitzgerald-493143/,concert,Muzikos magijos klubas,"Šv. Stepono g. 12, Vilnius",Vilnius,Lithuania,2026-02-24T00:00:00,2026-02-24T00:00:00,,2026-02-24T00:00:00,,,EUR,,2026-02-21T17:45:25.671958
AudrIngas duetas: improvizuotos dainos ir eilės | KITAS KAMPAS,https://www.bilietai.lt/eng/tickets/koncertai/audringas-duetas-improvizuotos-dainos-ir-eiles--kitas-kampas-494081/,concert,Teatro KITAS KAMPAS kavinė-baras,"Malūnų g. 4, Vilnius",Vilnius,Lithuania,2026-02-24T00:00:00,2026-02-24T00:00:00,,2026-02-24T00:00:00,,,EUR,,2026-02-21T17:45:33.870457
(PERKELTAS) el Fuego | RADVILIŠKIS,https://www.bilietai.lt/eng/tickets/koncertai/perkeltas-el-fuego--radviliskis-482488/,concert,Radviliškio kultūros centras,"Maironio g. 10, Radviliškis",Radviliškis,Lithuania,2026-02-25T00:00:00,2026-02-25T00:00:00,,2026-02-25T00:00:00,,,EUR,,2026-02-21T17:45:42.856164
Tash Sultana - Return To The Roots Tour 2026,https://www.bilietai.lt/eng/tickets/koncertai/tash-sultana-return-to-the-roots-tour-2026-489366/,concert,Lukiškių kalėjimas 2.0,"Lukiškių skg. 6, Vilnius",Vilnius,Lithuania,2026-08-16T00:00:00,2026-08-16T00:00:00,,2026-08-16T00:00:00,,,EUR,,2026-02-21T17:45:50.549763
Gravity x Paul van Dyk,https://www.bilietai.lt/eng/tickets/koncertai/gravity-x-paul-van-dyk-490026/,concert,Dūmų fabrikas,"Dūmų g. 5, Vilnius",Vilnius,Lithuania,2026-04-10T00:00:00,2026-04-10T00:00:00,,2026-04-10T00:00:00,,,EUR,,2026-02-21T17:46:21.466289
EVGENYA REDKO | 04 04 | ŽALGIRIO ARENA,https://www.bilietai.lt/eng/tickets/koncertai/evgenya-redko--04-04--zalgirio-arena-470485/,concert,Kauno Žalgirio arena,"Nemuno sala, Karaliaus Mindaugo pr. 50, Kaunas",Kaunas,Lithuania,2026-04-04T00:00:00,2026-04-04T00:00:00,,2026-04-04T00:00:00,,,EUR,,2026-02-21T17:46:29.593046
GRAŽI IR TA GALINGA 10-METIS,https://www.bilietai.lt/eng/tickets/koncertai/grazi-ir-ta-galinga-10-metis-102904/,concert,Unknown,,,Lithuania,2026-04-25T00:00:00,2026-05-22T00:00:00,,2026-05-22T00:00:00,,,EUR,,2026-02-21T17:46:37.059058
Deki Alem - Vilnius,https://www.bilietai.lt/eng/tickets/koncertai/deki-alem-vilnius-479160/,concert,Kablys,"Kauno g. 5, Vilnius",Vilnius,Lithuania,2026-03-14T00:00:00,2026-03-14T00:00:00,,2026-03-14T00:00:00,,,EUR,,2026-02-21T17:46:44.560032
Prisikėlęs,https://www.bilietai.lt/eng/tickets/koncertai/prisikeles-494310/,concert,Kauno sporto halė,"Perkūno al. 5, Kaunas",Kaunas,Lithuania,2026-04-06T00:00:00,2026-04-06T00:00:00,,2026-04-06T00:00:00,,,EUR,,2026-02-21T17:46:51.665844
